sample	DADA2_input	filtered	denoised	nonchim
ERS1215651	18660	18511	18443	18431
ERS1215652	21463	21306	21294	21294
ERS1215653	24279	24109	24006	22819
ERS1215654	23853	23719	23615	23421
ERS1215655	27734	27582	27501	27181
ERS1215656	15867	15743	15707	15700
ERS1215657	25128	24931	24867	23367
ERS1215658	19172	19041	18972	18670
ERS1215659	17129	16991	16976	16976
ERS1215660	18982	18847	18774	18758
ERS1215661	25669	25522	25385	24100
ERS1215662	11853	11752	11742	11742
ERS1215663	26149	25938	25919	25919
ERS1215664	24702	24472	24441	24441
ERS1215665	25376	25128	25117	25061
ERS1215666	18030	17896	17838	17838
ERS1215667	22155	22045	21907	20638
ERS1215668	20783	20634	20623	20615
ERS1215669	24596	24464	24419	24419
ERS1215670	22938	22779	22635	22496
ERS1215671	26465	26315	26243	25008
ERS1215672	13902	13823	13812	13812
ERS1215673	20531	20364	20348	20260
ERS1215674	24975	24833	24781	24220
ERS1215675	25779	25628	25513	23731
ERS1215676	25339	25139	25132	25132
ERS1215677	21251	21113	21089	21067
ERS1215678	22438	22249	22127	21973
ERS1215679	23629	23451	23355	22447
ERS1215680	7778	7721	7686	7686
ERS1215681	18493	18391	18381	18342
ERS1215682	18651	18535	18511	18503
ERS1215683	24503	24302	24289	23735
ERS1215684	26250	26117	26083	25066
ERS1215685	18398	18263	18253	18244
ERS1215686	22418	22249	22209	22110
ERS1215687	17912	17783	17761	17682
ERS1215688	20996	20836	20818	20818
ERS1215689	24291	24076	24006	24006
ERS1215690	20196	20038	20017	20017
ERS1215691	37166	36879	36717	36150
ERS1215692	15653	15490	15465	15465
ERS1215693	37929	37642	37527	36696
ERS1215694	30123	29905	29841	29764
ERS1215695	27880	27692	27639	27535
ERS1215696	34024	33751	33738	33734
ERS1215697	28712	28500	28448	27346
ERS1215698	16731	16588	16578	16578
ERS1215699	10405	10310	10297	10297
ERS1215700	15617	15493	15489	15489
ERS1215701	26258	26117	26076	26017
ERS1215702	16171	16026	16003	16003
ERS1215703	29054	28838	28802	27071
ERS1215704	23671	23477	23462	23390
ERS1215705	17058	16882	16864	16864
ERS1215706	12221	12151	12138	12138
ERS1215707	20391	20244	20239	20196
ERS1215708	29943	29769	29695	28626
ERS1215709	26407	26275	26212	26045
ERS1215710	19686	19542	19503	19470
ERS1215711	20071	19949	19910	19839
ERS1215712	16253	16139	16110	16110
ERS1215713	22356	22201	22127	21381
ERS1215714	14507	14403	14366	14366
ERS1215715	13446	13353	13338	13338
ERS1215716	23070	22887	22879	22879
ERS1215717	23580	23416	23332	23291
ERS1215718	17676	17555	17529	17476
ERS1215719	25072	24919	24743	22547
ERS1215720	16026	15877	15831	15831
ERS1215721	26455	26262	26238	26225
ERS1215722	28070	27846	27740	26065
ERS1215723	21695	21574	21521	21462
ERS1215724	25944	25683	25655	25546
ERS1215725	27326	27111	27080	27057
ERS1215726	31217	31074	30981	30081
ERS1215727	23184	23005	22939	22711
ERS1215728	26007	25807	25747	25637
ERS1215729	22811	22624	22603	22581
ERS1215730	19506	19360	19326	19309
ERS1215731	31516	31276	31135	30312
ERS1215732	20601	20483	20459	20426
ERS1215733	24518	24354	24284	23820
ERS1215734	25464	25289	25228	25206
ERS1215735	29422	29258	29200	28895
ERS1215736	28257	27979	27927	27730
ERS1215737	17169	17001	16984	16949
ERS1215738	33654	33400	33302	31541
ERS1215739	30580	30420	30375	30166
ERS1215740	20846	20702	20695	20660
ERS1215741	23465	23335	23321	23260
ERS1215742	26255	26123	26058	23891
ERS1215743	22218	22057	22015	21936
ERS1215744	16636	16502	16487	16487
ERS1215745	18838	18662	18651	18570
ERS1215746	27918	27692	27621	26453
ERS1215747	30178	29967	29920	29242
ERS1215748	22976	22794	22767	22761
ERS1215749	27460	27262	27246	27203
ERS1215750	18364	18220	18219	17822
ERS1215751	22996	22830	22821	22648
ERS1215752	24345	24109	24095	23770
ERS1215753	22398	22275	22253	22253
ERS1215754	24442	24245	24221	24202
ERS1215755	7914	7842	7837	7837
ERS1215756	21053	20863	20835	20826
ERS1215757	25657	25466	25450	25450
ERS1215758	27116	26881	26857	26852
ERS1215759	28800	28581	28558	28470
ERS1215760	17444	17337	17333	17333
ERS1215761	26477	26298	26279	26279
ERS1215762	21262	21052	20865	20751
ERS1215763	14416	14042	13936	13936
ERS1215764	24039	23865	23841	23723
ERS1215765	26251	26039	26025	26013
ERS1215766	20138	19978	19952	19952
ERS1215767	20855	20690	20660	20604
ERS1215768	19498	19343	19317	19232
ERS1215769	24034	23841	23826	23826
ERS1215770	22081	21935	21890	21484
ERS1215771	22365	22198	22165	22165
ERS1215772	21039	20899	20814	19984
ERS1215773	12146	12065	12046	12046
ERS1215774	22945	22788	22772	22737
ERS1215775	25648	25456	25365	25205
ERS1215776	24750	24588	24515	24341
ERS1215777	21539	21371	21317	21317
ERS1215778	19759	19648	19633	19633
ERS1215779	24265	24105	24066	24063
ERS1215780	23252	23076	23056	23056
ERS1215781	20142	19990	19979	19979
ERS1215782	29372	29084	29002	28901
ERS1215783	25275	25113	25072	24988
ERS1215784	25445	25282	25205	25191
ERS1215785	15904	15779	15734	15711
ERS1215786	36475	36209	35933	35389
ERS1215787	19810	19688	19607	19598
ERS1215788	30531	30308	30127	29049
ERS1215789	33674	33416	33254	33038
ERS1215790	26418	26233	26079	25903
ERS1215791	44203	43885	43634	43191
ERS1215792	23514	23353	23139	22840
ERS1215793	40439	40172	39954	39508
ERS1215794	22026	21859	21830	21830
ERS1215795	35825	35589	35367	34359
ERS1215796	41379	40975	40807	40749
ERS1215797	19290	19144	19092	19092
ERS1215798	22553	22381	22275	21734
ERS1215799	22651	22479	22450	22347
ERS1215800	27995	27845	27690	26675
ERS1215801	19279	19134	19111	19034
ERS1215802	30236	30029	29832	28472
ERS1215803	27353	27110	27049	26181
ERS1215804	29797	29592	29411	29332
ERS1215805	19503	19377	19351	19077
ERS1215806	34702	34497	34378	34081
ERS1215807	26796	26659	26637	26637
ERS1215808	23669	23169	23080	22704
ERS1215809	52787	51575	51369	49651
ERS1215810	22330	22085	22009	21523
ERS1215811	22798	22301	22194	21489
ERS1215812	27129	26835	26726	26054
ERS1215813	20330	20128	19996	19413
ERS1215814	28041	27765	27611	26501
ERS1215815	27353	26836	26659	25302
ERS1215816	22348	22025	21962	21047
ERS1215817	30125	29842	29743	28874
ERS1215818	28587	28047	27933	26397
ERS1215819	36974	36268	36110	34953
ERS1215820	77307	76574	76416	72900
ERS1215821	22185	21731	21620	20533
ERS1215822	32070	31638	31525	30181
ERS1215823	23928	23521	23424	22745
ERS1215824	24368	24071	23993	23377
ERS1215825	21487	21067	20973	20280
ERS1215826	30869	30356	30201	29195
ERS1215827	12726	12565	12521	12169
ERS1215828	24015	23812	23729	23134
ERS1215829	27973	27663	27526	26720
ERS1215830	38748	37987	37909	36489
ERS1215831	27938	27497	27447	26364
ERS1215832	25821	25565	25453	24525
ERS1215833	27477	27154	27053	26061
ERS1215834	26047	25554	25461	24044
ERS1215835	23445	22994	22904	21751
ERS1215836	19149	18750	18656	17858
ERS1215837	31529	31209	31100	29314
ERS1215838	21289	20952	20872	20195
ERS1215839	26259	25882	25664	24433
ERS1215840	23234	23039	22971	21833
ERS1215841	22159	21962	21910	21910
ERS1215842	15753	15448	15416	15024
ERS1215843	28255	27992	27915	26691
ERS1215844	28050	27322	27258	26542
ERS1215845	19953	19793	19691	19173
ERS1215846	28718	28175	28033	27259
ERS1215847	22822	22329	22190	21480
ERS1215848	20755	20510	20390	19936
ERS1215849	26599	26220	26133	25229
ERS1215850	17373	17191	17152	16367
ERS1215851	35025	34651	34573	32920
ERS1215852	43832	42945	42855	40742
ERS1215853	22196	21740	21640	20823
ERS1215854	31316	30545	30436	29219
ERS1215855	19424	19184	19140	18990
ERS1215856	21165	20901	20843	20013
ERS1215857	18380	18138	18086	17702
ERS1215858	16532	16358	16299	15950
ERS1215859	22385	21878	21785	21124
ERS1215860	24088	23501	23389	22735
ERS1215861	20748	20340	20298	18897
ERS1215862	22788	22505	22340	21721
ERS1215863	104044	102906	102513	97111
ERS1215864	22590	22380	22301	21620
ERS1215865	23842	23516	23388	22026
ERS1215866	20001	19686	19588	19161
ERS1215867	16102	15790	15722	15592
ERS1215868	23613	23045	22945	22437
ERS1215869	33995	33581	33425	32457
ERS1215870	24969	24568	24436	24111
ERS1215871	26621	25952	25861	25083
ERS1215872	32268	31407	31280	30286
ERS1215873	26608	26142	26074	25068
ERS1215874	24347	23977	23855	22927
ERS1215875	18865	18592	18552	18074
ERS1215876	27341	27038	26917	26238
ERS1215877	33160	32691	32592	31826
ERS1215878	23672	23330	23249	22601
ERS1215879	47769	47086	46969	45467
ERS1215880	35831	35283	35192	33514
ERS1215881	25568	24961	24904	23932
ERS1215882	23801	23443	23378	22574
ERS1215883	23574	23000	22939	22292
ERS1215884	26545	26047	25910	24990
ERS1215885	34150	33805	33680	32450
ERS1215886	20035	19824	19725	19318
ERS1215887	21967	21420	21350	20855
ERS1215888	21300	20916	20816	20215
ERS1215889	25561	25212	25195	24339
ERS1215890	25663	25337	25229	24438
ERS1215891	31878	31222	31106	30076
ERS1215892	68351	67059	66690	64112
ERS1215893	20225	19979	19889	19481
ERS1215894	24805	24551	24417	23495
ERS1215895	27669	27271	27172	26034
ERS1215896	33365	32681	32535	31328
ERS1215897	33999	33732	33545	32682
ERS1215898	26421	26045	25964	24593
ERS1215899	18791	18399	18298	17584
ERS1215900	66549	65667	65537	61375
ERS1215901	19802	19585	19482	18640
ERS1215902	31995	31687	31582	30309
ERS1215903	19459	19153	19114	18497
ERS1215904	26128	25748	25699	24647
ERS1215905	32761	32383	32203	29843
ERS1215906	43510	42390	42239	39384
ERS1215907	21492	21259	21196	20543
ERS1215908	20636	20333	20188	19488
ERS1215909	26959	26456	26357	25619
ERS1215910	31173	30736	30573	29723
ERS1215911	25354	25068	24999	24281
ERS1215912	21396	21150	21084	20548
ERS1215913	19323	19099	19030	18438
ERS1215914	18599	18392	18346	17953
ERS1215915	26257	25764	25663	25186
ERS1215916	21968	21526	21466	21145
ERS1215917	20099	19916	19860	19525
ERS1215918	32046	31592	31534	31065
ERS1215919	26563	26114	26007	25688
ERS1215920	28092	27649	27553	26827
ERS1215921	21364	20813	20693	19985
ERS1215922	25614	25145	25064	24558
ERS1215923	21111	20721	20652	20287
ERS1215924	21356	20778	20655	20332
ERS1215925	19582	19253	19217	19009
ERS1215926	22141	21762	21736	21457
ERS1215927	24896	24387	24339	23676
ERS1215928	25227	24983	24824	23934
ERS1215929	28095	27717	27553	26654
ERS1215930	22970	22578	22515	21325
ERS1215931	17452	17134	17111	16697
ERS1215932	18223	17815	17772	17310
ERS1215933	17839	17612	17518	17031
ERS1215934	27396	27012	26933	26151
ERS1215935	26085	25828	25730	25262
ERS1215936	32592	31826	31666	30459
ERS1215937	38637	37959	37804	36575
ERS1215938	28231	27903	27794	27156
ERS1215939	23806	23363	23261	22710
ERS1215940	26971	26539	26400	26067
ERS1215941	82125	80667	80516	79010
ERS1215942	20951	20546	20476	19978
ERS1215943	33123	32462	32416	31663
ERS1215944	25478	25159	25090	24707
ERS1215945	19294	19006	18928	18636
ERS1215946	20480	20041	19939	19350
ERS1215947	27953	27602	27519	26747
ERS1215948	43196	41886	41696	39941
ERS1215949	23287	22927	22822	22276
ERS1215950	64910	64104	64026	60879
ERS1215951	63432	62682	62584	60465
ERS1215952	26675	25765	25722	24673
ERS1215953	23931	23689	23618	22925
ERS1215954	36272	35405	35309	33683
ERS1215955	34866	34352	34251	32902
ERS1215956	18513	18255	18235	18093
ERS1215957	20250	20013	19979	19427
ERS1215958	84401	82636	82471	79849
ERS1215959	20739	20497	20486	20195
ERS1215960	17479	17146	17108	16837
ERS1215961	48219	47117	47018	45466
ERS1215962	36331	35758	35674	34437
ERS1215963	74898	73646	73545	72081
ERS1215964	21374	21193	21154	20712
ERS1215965	28562	28245	28163	27556
ERS1215966	26300	25929	25863	25022
ERS1215967	25399	25121	25041	24408
ERS1215968	26289	25986	25923	25281
ERS1215969	19389	19138	19120	18651
ERS1215970	13731	13526	13492	13192
ERS1215971	18217	17974	17939	17573
ERS1215972	16135	15938	15882	15419
ERS1215973	25232	24789	24715	23973
ERS1215974	24147	23835	23793	23304
ERS1215975	20111	19736	19697	19227
ERS1215976	52105	50778	50595	47855
ERS1215977	14673	14477	14433	14088
ERS1215978	24586	24205	24145	23588
ERS1215979	17842	17604	17554	16880
ERS1215980	17269	17051	17028	16635
ERS1215981	26033	25698	25617	25274
ERS1215982	19570	19268	19217	18938
ERS1215983	20467	20155	20092	19731
ERS1215984	24649	24336	24260	23594
ERS1215985	20099	19561	19489	19047
ERS1215986	27382	26760	26683	26076
ERS1215987	17712	17277	17260	16774
ERS1215988	19790	19326	19265	18851
ERS1215989	24410	23938	23895	23354
ERS1215990	24525	24254	24191	23564
ERS1215991	30229	29726	29621	28899
ERS1215992	23118	22859	22785	22019
ERS1215993	28435	27690	27625	27089
ERS1215994	15961	15689	15632	15349
ERS1215995	19207	18846	18725	18267
ERS1215996	19538	19337	19257	19063
ERS1215997	24086	23591	23556	22703
ERS1215998	19581	19351	19311	18602
ERS1215999	60718	59779	59681	57316
ERS1216000	23046	22677	22615	22067
ERS1216001	21654	21356	21297	20555
ERS1216002	40173	39387	39256	38215
ERS1216003	22206	21958	21820	21410
ERS1216004	21183	20813	20719	20346
ERS1216005	24133	23835	23742	23041
ERS1216006	18766	18408	18307	18032
ERS1216007	15971	15660	15523	15253
ERS1216008	14494	14244	14197	14197
ERS1216009	25385	24987	24866	24037
ERS1216010	20441	19783	19713	19273
ERS1216011	19820	19406	19327	18666
ERS1216012	21078	20815	20772	20314
ERS1216013	14479	14264	14238	13977
ERS1216014	15697	15506	15458	15173
ERS1216015	20839	20550	20451	19912
ERS1216016	31119	30618	30505	28839
ERS1216017	19050	18826	18694	17893
ERS1216018	20724	20498	20382	19467
ERS1216019	48974	47766	47587	44658
ERS1216020	22651	22400	22314	21786
ERS1216021	21840	21512	21480	21162
ERS1216022	22171	21827	21763	21350
ERS1216023	25761	25215	25147	24594
ERS1216024	17403	17217	17138	16530
ERS1216025	19240	19015	18932	18382
ERS1216026	19669	19391	19311	18841
ERS1216027	18363	18211	18090	17693
ERS1216028	24770	24048	23989	23455
ERS1216029	20755	20568	20515	19717
ERS1216030	25055	24546	24419	24092
ERS1216031	36326	35189	35053	34092
ERS1216032	24484	24141	24101	23447
ERS1216033	26452	26077	26019	24760
ERS1216034	16577	16308	16223	15701
ERS1216035	23507	22911	22858	22251
ERS1216036	22037	21660	21611	21077
ERS1216037	14353	14155	14090	13909
ERS1216038	57077	55627	55521	54391
ERS1216039	15180	14982	14902	14307
ERS1216040	18605	18354	18264	17495
ERS1216041	51098	50307	50247	49595
ERS1216042	19370	19095	19057	18791
ERS1216043	18218	17868	17833	17581
ERS1216044	17653	17441	17413	17101
ERS1216045	18475	17988	17951	17516
ERS1216046	46503	45247	45177	44024
ERS1216047	15795	15597	15574	15248
ERS1216048	14885	14681	14619	14403
ERS1216049	27873	27289	27246	26757
ERS1216050	32170	31759	31678	30798
ERS1216051	31084	30118	30017	29561
ERS1216052	28278	27824	27752	27023
ERS1216053	108466	106139	105776	102456
ERS1216054	20819	20529	20459	19665
ERS1216055	18993	18814	18766	18430
ERS1216056	24544	24210	24155	23791
ERS1216057	29529	29206	29142	28415
ERS1216058	25091	24647	24597	24210
ERS1216059	20035	19619	19592	19266
ERS1216060	18478	18226	18154	17787
ERS1216061	17421	17209	17156	16583
ERS1216062	24205	23935	23892	23330
ERS1216063	18637	18298	18268	17781
ERS1216064	16406	16207	16101	15750
ERS1216065	19726	19352	19308	18193
ERS1216066	21620	21082	21064	20361
ERS1216067	20782	20513	20500	19600
ERS1216068	32298	31752	31722	29921
ERS1216069	20405	20107	20081	19035
ERS1216070	20546	20017	19962	18788
ERS1216071	23999	23612	23532	22345
ERS1216072	27912	27600	27529	26496
ERS1216073	24352	23894	23860	21845
ERS1216074	13878	13592	13580	13565
ERS1216075	23461	23060	23046	22921
ERS1216076	17510	17154	17136	17125
ERS1216077	34346	33906	33845	32421
ERS1216078	38375	37885	37868	36607
ERS1216079	15644	15270	15236	15008
ERS1216080	24452	23741	23699	23299
ERS1216081	15433	15266	15240	15105
ERS1216082	20710	20432	20403	20025
ERS1216083	21053	20776	20717	19751
ERS1216084	18503	18159	18102	17609
ERS1216085	36619	36225	36182	35454
ERS1216086	24192	23718	23691	23312
ERS1216087	29620	29106	28970	27910
ERS1216088	24887	24258	24208	23919
ERS1216089	24694	24370	24271	23000
ERS1216090	22178	21720	21698	20625
ERS1216091	21623	21390	21366	20672
ERS1216092	17404	17202	17160	16243
ERS1216093	23291	22924	22881	22181
ERS1216094	20675	20439	20391	19459
ERS1216095	22665	22336	22298	21250
ERS1216096	30929	30359	30286	28788
ERS1216097	27477	26781	26707	25571
ERS1216098	27634	27292	27241	26249
ERS1216099	31095	30451	30391	28458
ERS1216100	18631	18397	18294	17350
ERS1216101	22415	22205	22150	21139
ERS1216102	25409	25075	25042	23846
ERS1216103	25865	25512	25460	24311
ERS1216104	24446	23833	23763	22485
ERS1216105	23211	22881	22827	21852
ERS1216106	18074	17752	17661	17549
ERS1216107	9797	9666	9605	9605
ERS1216108	20029	19755	19682	18894
ERS1216109	29296	28599	28516	26336
ERS1216110	22704	22465	22423	21197
ERS1216111	21280	20978	20915	19700
ERS1216112	22685	22427	22368	21118
ERS1216113	23795	23407	23360	21845
ERS1216114	33395	32935	32872	31258
ERS1216115	26633	26308	26245	24778
ERS1216116	31887	31391	31311	29656
ERS1216117	28989	28593	28561	28147
ERS1216118	26508	26225	26186	24522
ERS1216119	23581	23310	23208	22084
ERS1216120	50996	49453	49176	47535
ERS1216121	27503	26902	26783	26280
ERS1216122	22548	22179	22073	21236
ERS1216123	9352	9243	9198	8916
ERS1216124	15979	15788	15740	15369
ERS1216125	19607	19475	19379	18859
ERS1216126	18629	18148	18023	17646
ERS1216127	29304	28618	28490	28211
ERS1216128	19425	19265	19142	18767
ERS1216129	19340	18952	18886	18847
ERS1216130	34974	34463	34386	33597
ERS1216131	13623	13410	13330	12922
ERS1216132	19701	19440	19318	18889
ERS1216133	15929	15718	15641	15489
ERS1216134	24208	23883	23753	23289
ERS1216135	16666	16281	16216	16132
ERS1216136	16338	16117	15974	15649
ERS1216137	15477	15178	15130	14960
ERS1216138	24195	23955	23888	23394
ERS1216139	32470	32140	32000	30846
ERS1216140	13267	12822	12795	12795
ERS1216141	41858	41200	41107	39925
ERS1216142	24000	23560	23539	23268
ERS1216143	26336	25669	25541	25129
ERS1216144	45221	44658	44630	42814
ERS1216145	49025	48002	47881	46911
ERS1216146	8339	8229	8201	8201
ERS1216147	31522	30832	30710	29576
ERS1216148	15306	14815	14789	14789
ERS1216149	19188	18950	18870	18326
ERS1216150	30643	30297	30179	29300
ERS1216151	19903	19674	19568	19351
ERS1216152	28906	28586	28525	27411
ERS1216153	26260	25707	25598	25329
ERS1216154	15260	14957	14835	14395
ERS1216155	28291	27703	27540	26699
ERS1216156	15184	14921	14906	14752
ERS1216157	30089	29754	29620	28366
ERS1216158	12087	11947	11929	11841
ERS1216159	32848	32376	32322	31734
ERS1216160	26200	25899	25692	25255
ERS1216161	22618	22154	21912	21554
ERS1216162	12219	11743	11723	11360
ERS1216163	43185	42587	42474	40264
ERS1216164	12258	12080	12012	11795
ERS1216165	30578	30211	30122	29243
ERS1216166	15576	15430	15411	14900
ERS1216167	19941	19742	19648	19120
ERS1216168	58958	58173	57931	55476
ERS1216169	23653	23402	23298	22576
ERS1216170	25177	24894	24783	23922
ERS1216171	18291	18034	17927	17478
ERS1216172	27358	27030	26962	25627
ERS1216173	60565	59774	59536	54690
ERS1216174	23619	23283	23183	22060
ERS1216175	56305	55507	55318	52555
ERS1216176	15292	15078	15027	14556
ERS1216177	16332	16117	16048	15691
ERS1216178	19089	18781	18719	18011
ERS1216179	38244	37797	37686	36089
ERS1216180	19426	19145	19022	18467
ERS1216181	12724	12605	12512	12083
ERS1216182	14716	14584	14541	13607
ERS1216183	16844	16645	16605	15766
ERS1216184	25844	25503	25445	25037
ERS1216185	29826	29513	29331	27920
ERS1216186	15920	15726	15697	15123
ERS1216187	21490	21197	21140	20501
ERS1216188	19021	18657	18586	17959
ERS1216189	38183	37719	37557	36798
ERS1216190	22331	22047	21946	21327
ERS1216191	2797	2759	2725	2697
ERS1216192	41003	40481	40342	39399
ERS1216193	27173	26871	26774	26101
ERS1216194	13243	12994	12892	12867
ERS1216195	13508	13135	13049	12910
ERS1216196	13198	13076	13014	12795
ERS1216197	9808	9655	9584	9376
ERS1216198	20368	20121	20045	19537
ERS1216199	24048	23813	23752	23348
ERS1216200	24605	24321	24230	23405
ERS1216201	32310	31955	31852	30823
ERS1216202	18017	17789	17733	17229
ERS1216203	15112	14889	14860	14427
ERS1216204	19440	19233	19186	18806
ERS1216205	23729	23402	23325	22620
ERS1216206	38931	38505	38445	36897
ERS1216207	14684	14499	14417	14013
ERS1216208	16618	16417	16367	16006
ERS1216209	15993	15796	15720	15411
ERS1216210	17596	17381	17333	16729
ERS1216211	12175	12010	11954	11772
ERS1216212	25115	24782	24717	23655
ERS1216213	9430	9341	9308	9062
ERS1216214	16458	16273	16194	15852
ERS1216215	27344	26938	26810	26141
ERS1216216	12408	12270	12199	11903
ERS1216217	21243	20965	20801	20359
ERS1216218	15913	15714	15681	14998
ERS1216219	24773	24466	24306	22905
ERS1216220	11238	11115	11094	10622
ERS1216221	18433	18184	18164	17543
ERS1216222	44786	44354	44192	43121
ERS1216223	14837	14681	14624	14495
ERS1216224	6886	6810	6773	6704
ERS1216225	14869	14582	14537	14095
ERS1216226	15874	15671	15647	15279
ERS1216227	22763	22428	22345	21938
ERS1216228	21022	20816	20785	20200
ERS1216229	15298	15115	15049	14600
ERS1216230	23422	23113	23068	22473
ERS1216231	19708	19361	19337	18985
ERS1216232	18863	18614	18600	18295
ERS1216233	21536	21257	21219	20705
ERS1216234	18572	18346	18295	18154
ERS1216235	25128	24811	24766	24461
ERS1216236	50498	49866	49745	48235
ERS1216237	32359	31930	31827	31156
ERS1216238	10123	9963	9923	9761
ERS1216239	30593	30202	30149	29541
ERS1216240	18715	18517	18486	18418
ERS1216241	16108	15961	15917	15739
ERS1216242	21652	21389	21321	20515
ERS1216243	33250	32794	32778	31988
ERS1216244	18311	18087	18026	17260
ERS1216245	27854	27492	27435	26037
ERS1216246	12360	12214	12181	12035
ERS1216247	24467	24188	24141	23685
ERS1216248	17592	17409	17349	16996
ERS1216249	8594	8453	8433	8293
ERS1216250	49340	48621	48564	46552
ERS1216251	20426	20068	20029	19680
ERS1216252	17184	16971	16916	16642
ERS1216253	24000	23693	23657	22773
ERS1216254	12494	12365	12358	12352
ERS1216255	16509	16286	16265	15770
ERS1216256	10918	10794	10770	10650
ERS1216257	7822	7717	7679	7417
